a_id,b_id,pair_strategy,pair_score,is_true_pair,is_same_group,a_group_id,b_group_id
0,4582,propensity_weighted,0.9943374883523449,0,0,35,33
1,571,propensity_weighted,0.9953072715087676,0,1,33,33
2,2251,propensity_weighted,0.995930205317983,0,0,28,45
3,548,propensity_weighted,0.9930749629540037,0,1,25,25
4,3636,propensity_weighted,0.9957687481094496,0,1,43,43
5,1901,propensity_weighted,0.9949934033719203,0,0,40,43
6,3644,propensity_weighted,0.9925457185651734,0,0,35,27
7,375,propensity_weighted,0.9951738268951844,0,0,15,13
8,2339,propensity_weighted,0.9952656001121338,0,0,20,39
9,4804,propensity_weighted,0.9954958668625885,0,0,27,29
10,4603,propensity_weighted,0.9952635475180337,0,1,3,3
11,2525,propensity_weighted,0.99615519893329,0,0,2,11
12,406,propensity_weighted,0.995279353825329,0,0,35,33
13,1430,propensity_weighted,0.9956005885406405,0,1,36,36
14,2066,propensity_weighted,0.9953677510149723,0,0,19,36
15,2212,propensity_weighted,0.9944966209563487,0,0,25,6
16,16,propensity_weighted,0.9934763779997602,1,1,5,5
17,17,propensity_weighted,0.9949186745591019,1,1,46,46
18,1633,propensity_weighted,0.9964981492382352,0,0,18,27
19,4732,propensity_weighted,0.99560694038416,0,0,44,47
20,2900,propensity_weighted,0.9957124266394727,0,0,15,16
21,3162,propensity_weighted,0.9941623090617401,0,1,0,0
22,981,propensity_weighted,0.9962441751524671,0,0,46,47
23,4317,propensity_weighted,0.9903040703431687,0,0,42,26
24,4188,propensity_weighted,0.9962522200672601,0,0,10,25
25,1678,propensity_weighted,0.9953284748816739,0,0,28,45
26,4561,propensity_weighted,0.9949254699035465,0,0,25,32
27,3739,propensity_weighted,0.996616185706089,0,0,5,49
28,4831,propensity_weighted,0.9951579918177241,0,0,23,44
29,4241,propensity_weighted,0.9963715543158224,0,0,10,4
30,1839,propensity_weighted,0.9958873608206724,0,0,30,27
31,31,propensity_weighted,0.9926738745187988,1,1,45,45
32,2837,propensity_weighted,0.9961806131685919,0,0,14,26
33,4276,propensity_weighted,0.9960595892089336,0,0,3,1
34,4855,propensity_weighted,0.9959329963513941,0,0,39,30
35,1745,propensity_weighted,0.9957881243650641,0,0,31,17
36,3600,propensity_weighted,0.9953148880853601,0,0,32,0
37,1845,propensity_weighted,0.9960363642654035,0,0,46,21
38,38,propensity_weighted,0.9944507689289117,1,1,10,10
39,3351,propensity_weighted,0.9956887069135842,0,0,45,44
40,40,propensity_weighted,0.9951008930299177,1,1,23,23
41,1246,propensity_weighted,0.996249736415524,0,0,10,9
42,42,propensity_weighted,0.9920267078157144,1,1,48,48
43,3369,propensity_weighted,0.9941602011143702,0,0,17,10
44,170,propensity_weighted,0.995594874678495,0,0,41,20
45,60,propensity_weighted,0.9958788080894572,0,0,23,20
46,4074,propensity_weighted,0.9950906320861774,0,0,43,30
47,1053,propensity_weighted,0.9963555394132602,0,0,37,18
48,946,propensity_weighted,0.9941387250482686,0,0,6,20
49,928,propensity_weighted,0.9940809897737433,0,0,13,14
50,3107,propensity_weighted,0.9930260666813238,0,0,7,15
51,51,propensity_weighted,0.9961077624337209,1,1,1,1
52,4700,propensity_weighted,0.9936412605836139,0,0,26,42
53,710,propensity_weighted,0.995721733270723,0,1,0,0
54,2258,propensity_weighted,0.9963569341828229,0,0,32,48
55,2253,propensity_weighted,0.9960100188711427,0,0,13,0
56,2399,propensity_weighted,0.9962328190959393,0,0,22,29
57,3328,propensity_weighted,0.9952995302113723,0,1,17,17
58,14,propensity_weighted,0.9955791403925338,0,0,30,19
59,1016,propensity_weighted,0.9934009799603721,0,0,5,29
