a_id,b_id,pair_strategy,pair_score,is_true_pair,is_same_group,a_group_id,b_group_id
0,1535,random,1.0,0,0,35,22
1,1183,random,1.0,0,0,33,26
2,3378,random,1.0,0,0,28,49
3,3825,random,1.0,0,0,25,34
4,643,random,1.0,0,0,43,41
5,90,random,1.0,0,0,40,48
6,2835,random,1.0,0,0,35,0
7,3865,random,1.0,0,0,15,16
8,2220,random,1.0,0,0,20,37
9,2177,random,1.0,0,0,27,25
10,3753,random,1.0,0,0,3,6
11,3552,random,1.0,0,0,2,44
12,935,random,1.0,0,0,35,28
13,4236,random,1.0,0,0,36,0
14,719,random,1.0,0,0,19,42
15,1325,random,1.0,0,0,25,24
16,455,random,1.0,0,0,5,6
17,3846,random,1.0,0,0,46,37
18,2518,random,1.0,0,0,18,19
19,4894,random,1.0,0,0,44,14
20,2915,random,1.0,0,0,15,31
21,3050,random,1.0,0,0,0,48
22,4746,random,1.0,0,0,46,16
23,3992,random,1.0,0,0,42,39
24,660,random,1.0,0,0,10,36
25,2678,random,1.0,0,0,28,29
26,1225,random,1.0,0,0,25,46
27,3105,random,1.0,0,0,5,10
28,2273,random,1.0,0,0,23,31
29,4060,random,1.0,0,0,10,25
30,330,random,1.0,0,0,30,35
31,1695,random,1.0,0,0,45,24
32,2864,random,1.0,0,0,14,13
33,2703,random,1.0,0,0,3,4
34,4739,random,1.0,0,0,39,41
35,381,random,1.0,0,0,31,41
36,2982,random,1.0,0,0,32,40
37,4996,random,1.0,0,0,46,41
38,3460,random,1.0,0,0,10,17
39,1495,random,1.0,0,0,45,3
40,4173,random,1.0,0,0,23,12
41,3310,random,1.0,0,0,10,48
42,4398,random,1.0,0,0,48,7
43,3367,random,1.0,0,0,17,1
44,2841,random,1.0,0,0,41,27
45,2973,random,1.0,0,0,23,34
46,293,random,1.0,0,0,43,11
47,387,random,1.0,0,0,37,20
48,4206,random,1.0,0,0,6,26
49,4763,random,1.0,0,0,13,6
50,3207,random,1.0,0,0,7,43
51,4301,random,1.0,0,0,1,41
52,2826,random,1.0,0,0,26,16
53,2100,random,1.0,0,0,0,48
54,1082,random,1.0,0,0,32,41
55,1463,random,1.0,0,0,13,14
56,2722,random,1.0,0,0,22,37
57,4917,random,1.0,0,0,17,33
58,80,random,1.0,0,0,30,44
59,3455,random,1.0,0,0,5,49
60,870,random,1.0,0,0,20,44
61,4178,random,1.0,0,0,28,17
62,4832,random,1.0,0,0,32,46
63,1455,random,1.0,0,0,5,48
64,4077,random,1.0,0,0,27,7
65,4556,random,1.0,0,0,6,2
66,1633,random,1.0,0,0,33,27
67,3635,random,1.0,0,0,35,4
68,3658,random,1.0,0,0,8,43
69,1422,random,1.0,0,0,22,36
70,265,random,1.0,0,0,15,7
71,585,random,1.0,0,0,35,4
72,4131,random,1.0,0,0,31,39
73,4310,random,1.0,0,0,10,41
74,3183,random,1.0,0,0,33,19
75,2486,random,1.0,0,0,36,14
76,2197,random,1.0,0,0,47,24
77,1160,random,1.0,0,0,10,36
78,3202,random,1.0,0,0,2,7
79,1228,random,1.0,0,0,28,3
