a_id,b_id,pair_strategy,pair_score,is_true_pair,is_same_group,a_group_id,b_group_id
0,0,true_pair,1.0,1,1,35,35
1,1,true_pair,1.0,1,1,33,33
2,2,true_pair,1.0,1,1,28,28
3,3,true_pair,1.0,1,1,25,25
4,4,true_pair,1.0,1,1,43,43
5,5,true_pair,1.0,1,1,40,40
6,6,true_pair,1.0,1,1,35,35
7,7,true_pair,1.0,1,1,15,15
8,8,true_pair,1.0,1,1,20,20
9,9,true_pair,1.0,1,1,27,27
10,10,true_pair,1.0,1,1,3,3
11,11,true_pair,1.0,1,1,2,2
12,12,true_pair,1.0,1,1,35,35
13,13,true_pair,1.0,1,1,36,36
14,14,true_pair,1.0,1,1,19,19
15,15,true_pair,1.0,1,1,25,25
16,16,true_pair,1.0,1,1,5,5
17,17,true_pair,1.0,1,1,46,46
18,18,true_pair,1.0,1,1,18,18
19,19,true_pair,1.0,1,1,44,44
20,20,true_pair,1.0,1,1,15,15
21,21,true_pair,1.0,1,1,0,0
22,22,true_pair,1.0,1,1,46,46
23,23,true_pair,1.0,1,1,42,42
24,24,true_pair,1.0,1,1,10,10
25,25,true_pair,1.0,1,1,28,28
26,26,true_pair,1.0,1,1,25,25
27,27,true_pair,1.0,1,1,5,5
28,28,true_pair,1.0,1,1,23,23
29,29,true_pair,1.0,1,1,10,10
30,30,true_pair,1.0,1,1,30,30
31,31,true_pair,1.0,1,1,45,45
32,32,true_pair,1.0,1,1,14,14
33,33,true_pair,1.0,1,1,3,3
34,34,true_pair,1.0,1,1,39,39
35,35,true_pair,1.0,1,1,31,31
36,36,true_pair,1.0,1,1,32,32
37,37,true_pair,1.0,1,1,46,46
38,38,true_pair,1.0,1,1,10,10
39,39,true_pair,1.0,1,1,45,45
40,40,true_pair,1.0,1,1,23,23
41,41,true_pair,1.0,1,1,10,10
42,42,true_pair,1.0,1,1,48,48
43,43,true_pair,1.0,1,1,17,17
44,44,true_pair,1.0,1,1,41,41
45,45,true_pair,1.0,1,1,23,23
46,46,true_pair,1.0,1,1,43,43
47,47,true_pair,1.0,1,1,37,37
48,48,true_pair,1.0,1,1,6,6
49,49,true_pair,1.0,1,1,13,13
50,50,true_pair,1.0,1,1,7,7
51,51,true_pair,1.0,1,1,1,1
52,52,true_pair,1.0,1,1,26,26
53,53,true_pair,1.0,1,1,0,0
54,54,true_pair,1.0,1,1,32,32
55,55,true_pair,1.0,1,1,13,13
56,56,true_pair,1.0,1,1,22,22
57,57,true_pair,1.0,1,1,17,17
58,58,true_pair,1.0,1,1,30,30
59,59,true_pair,1.0,1,1,5,5
60,60,true_pair,1.0,1,1,20,20
61,61,true_pair,1.0,1,1,28,28
62,62,true_pair,1.0,1,1,32,32
63,63,true_pair,1.0,1,1,5,5
64,64,true_pair,1.0,1,1,27,27
65,65,true_pair,1.0,1,1,6,6
66,66,true_pair,1.0,1,1,33,33
67,67,true_pair,1.0,1,1,35,35
68,68,true_pair,1.0,1,1,8,8
69,69,true_pair,1.0,1,1,22,22
70,70,true_pair,1.0,1,1,15,15
71,71,true_pair,1.0,1,1,35,35
72,72,true_pair,1.0,1,1,31,31
73,73,true_pair,1.0,1,1,10,10
74,74,true_pair,1.0,1,1,33,33
75,75,true_pair,1.0,1,1,36,36
76,76,true_pair,1.0,1,1,47,47
77,77,true_pair,1.0,1,1,10,10
78,78,true_pair,1.0,1,1,2,2
79,79,true_pair,1.0,1,1,28,28
80,80,true_pair,1.0,1,1,44,44
81,81,true_pair,1.0,1,1,20,20
82,82,true_pair,1.0,1,1,9,9
83,83,true_pair,1.0,1,1,1,1
84,84,true_pair,1.0,1,1,15,15
85,85,true_pair,1.0,1,1,3,3
86,86,true_pair,1.0,1,1,39,39
87,87,true_pair,1.0,1,1,31,31
88,88,true_pair,1.0,1,1,42,42
89,89,true_pair,1.0,1,1,24,24
90,90,true_pair,1.0,1,1,48,48
91,91,true_pair,1.0,1,1,20,20
92,92,true_pair,1.0,1,1,34,34
93,93,true_pair,1.0,1,1,45,45
94,94,true_pair,1.0,1,1,47,47
95,95,true_pair,1.0,1,1,38,38
96,96,true_pair,1.0,1,1,11,11
97,97,true_pair,1.0,1,1,39,39
98,98,true_pair,1.0,1,1,47,47
99,99,true_pair,1.0,1,1,22,22
100,100,true_pair,1.0,1,1,45,45
101,101,true_pair,1.0,1,1,6,6
102,102,true_pair,1.0,1,1,47,47
