a_id,b_id,true_pair,group_id
0,0,1,35
1,1,1,33
2,2,1,28
3,3,1,25
4,4,1,43
5,5,1,40
6,6,1,35
7,7,1,15
8,8,1,20
9,9,1,27
10,10,1,3
11,11,1,2
12,12,1,35
13,13,1,36
14,14,1,19
15,15,1,25
16,16,1,5
17,17,1,46
18,18,1,18
19,19,1,44
20,20,1,15
21,21,1,0
22,22,1,46
23,23,1,42
24,24,1,10
25,25,1,28
26,26,1,25
27,27,1,5
28,28,1,23
29,29,1,10
30,30,1,30
31,31,1,45
32,32,1,14
33,33,1,3
34,34,1,39
35,35,1,31
36,36,1,32
37,37,1,46
38,38,1,10
39,39,1,45
40,40,1,23
41,41,1,10
42,42,1,48
43,43,1,17
44,44,1,41
45,45,1,23
46,46,1,43
47,47,1,37
48,48,1,6
49,49,1,13
50,50,1,7
51,51,1,1
52,52,1,26
53,53,1,0
54,54,1,32
55,55,1,13
56,56,1,22
57,57,1,17
58,58,1,30
59,59,1,5
60,60,1,20
61,61,1,28
62,62,1,32
63,63,1,5
64,64,1,27
65,65,1,6
66,66,1,33
67,67,1,35
68,68,1,8
69,69,1,22
70,70,1,15
71,71,1,35
72,72,1,31
73,73,1,10
74,74,1,33
75,75,1,36
76,76,1,47
77,77,1,10
78,78,1,2
79,79,1,28
80,80,1,44
81,81,1,20
82,82,1,9
83,83,1,1
84,84,1,15
85,85,1,3
86,86,1,39
87,87,1,31
88,88,1,42
89,89,1,24
90,90,1,48
91,91,1,20
92,92,1,34
93,93,1,45
94,94,1,47
95,95,1,38
96,96,1,11
97,97,1,39
98,98,1,47
99,99,1,22
100,100,1,45
101,101,1,6
102,102,1,47
103,103,1,0
104,104,1,30
105,105,1,21
106,106,1,29
107,107,1,2
108,108,1,10
109,109,1,38
110,110,1,46
111,111,1,38
112,112,1,29
113,113,1,26
114,114,1,30
115,115,1,38
116,116,1,38
117,117,1,34
118,118,1,1
119,119,1,36
120,120,1,0
121,121,1,34
122,122,1,45
123,123,1,29
124,124,1,1
125,125,1,44
126,126,1,20
127,127,1,8
128,128,1,29
129,129,1,34
130,130,1,6
131,131,1,1
132,132,1,49
133,133,1,12
134,134,1,45
135,135,1,8
136,136,1,40
137,137,1,22
138,138,1,39
139,139,1,41
140,140,1,31
141,141,1,46
142,142,1,10
143,143,1,21
144,144,1,9
145,145,1,37
146,146,1,43
147,147,1,11
148,148,1,49
149,149,1,30
150,150,1,33
151,151,1,1
152,152,1,34
153,153,1,17
154,154,1,14
155,155,1,43
156,156,1,6
157,157,1,31
158,158,1,23
159,159,1,16
160,160,1,16
161,161,1,16
162,162,1,8
163,163,1,13
164,164,1,48
165,165,1,32
166,166,1,10
167,167,1,36
168,168,1,32
169,169,1,19
170,170,1,20
171,171,1,23
172,172,1,27
173,173,1,22
174,174,1,48
175,175,1,34
176,176,1,28
177,177,1,2
178,178,1,7
179,179,1,16
180,180,1,0
181,181,1,48
182,182,1,0
183,183,1,6
184,184,1,31
185,185,1,49
186,186,1,32
187,187,1,49
188,188,1,47
189,189,1,24
190,190,1,46
191,191,1,44
192,192,1,31
193,193,1,7
194,194,1,14
195,195,1,29
196,196,1,44
197,197,1,45
198,198,1,3
199,199,1,0
200,200,1,13
201,201,1,39
202,202,1,4
203,203,1,3
204,204,1,25
205,205,1,45
206,206,1,49
207,207,1,5
208,208,1,38
209,209,1,45
210,210,1,16
211,211,1,27
212,212,1,36
213,213,1,39
214,214,1,8
215,215,1,46
216,216,1,4
217,217,1,24
218,218,1,39
219,219,1,19
220,220,1,35
221,221,1,31
222,222,1,3
223,223,1,7
224,224,1,19
225,225,1,45
226,226,1,48
227,227,1,44
228,228,1,17
229,229,1,19
230,230,1,30
231,231,1,34
232,232,1,10
233,233,1,5
234,234,1,27
235,235,1,11
236,236,1,30
237,237,1,37
238,238,1,48
239,239,1,48
240,240,1,15
241,241,1,4
242,242,1,33
243,243,1,18
244,244,1,39
245,245,1,11
246,246,1,22
247,247,1,15
248,248,1,29
249,249,1,48
250,250,1,7
251,251,1,31
252,252,1,30
253,253,1,43
254,254,1,37
255,255,1,31
256,256,1,43
257,257,1,39
258,258,1,10
259,259,1,19
260,260,1,38
261,261,1,41
262,262,1,16
263,263,1,49
264,264,1,38
265,265,1,7
266,266,1,39
267,267,1,30
268,268,1,2
269,269,1,29
270,270,1,11
271,271,1,35
272,272,1,17
273,273,1,37
274,274,1,45
275,275,1,36
276,276,1,4
277,277,1,14
278,278,1,17
279,279,1,45
280,280,1,3
281,281,1,41
282,282,1,29
283,283,1,49
284,284,1,8
285,285,1,17
286,286,1,9
287,287,1,27
288,288,1,33
289,289,1,27
290,290,1,24
291,291,1,46
292,292,1,7
293,293,1,11
294,294,1,16
295,295,1,15
296,296,1,29
297,297,1,24
298,298,1,17
299,299,1,12
300,300,1,3
301,301,1,47
302,302,1,35
303,303,1,47
304,304,1,34
305,305,1,8
306,306,1,6
307,307,1,40
308,308,1,18
309,309,1,6
310,310,1,2
311,311,1,31
312,312,1,31
313,313,1,14
314,314,1,11
315,315,1,21
316,316,1,43
317,317,1,7
318,318,1,42
319,319,1,23
320,320,1,23
321,321,1,15
322,322,1,40
323,323,1,1
324,324,1,19
325,325,1,5
326,326,1,43
327,327,1,34
328,328,1,24
329,329,1,11
330,330,1,35
331,331,1,47
332,332,1,15
333,333,1,24
334,334,1,12
335,335,1,0
336,336,1,21
337,337,1,23
338,338,1,29
339,339,1,6
340,340,1,47
341,341,1,41
342,342,1,11
343,343,1,4
344,344,1,25
345,345,1,19
346,346,1,26
347,347,1,30
348,348,1,35
349,349,1,46
350,350,1,32
351,351,1,20
352,352,1,3
353,353,1,44
354,354,1,17
355,355,1,19
356,356,1,18
357,357,1,7
358,358,1,24
